Temperature;Fe2O3;Fe3O4;FeO;Fe
0;80.04;0;0;0
1;80.04;0;0;0
3;80.04;0;0;0
5;80.04;0;0;0
7;80.04;0;0;0
8;80.04;0;0;0
10;80.04;0;0;0
12;80.04;0;0;0
13;80.04;0;0;0
15;80.04;0;0;0
17;80.04;0;0;0
18;80.04;0;0;0
20;80.04;0;0;0
22;80.04;0;0;0
23;80.04;0;0;0
25;80.04;0;0;0
27;80.04;0;0;0
28;80.04;0;0;0
30;80.04;0;0;0
32;80.04;0;0;0
34;80.04;0;0;0
35;80.04;0;0;0
37;80.04;0;0;0
39;80.04;0;0;0
40;80.04;0;0;0
42;80.04;0;0;0
44;80.04;0;0;0
45;80.04;0;0;0
47;80.04;0;0;0
49;80.04;0;0;0
50;80.04;0;0;0
52;80.04;0;0;0
54;80.04;0;0;0
55;80.04;0;0;0
57;80.04;0;0;0
59;80.04;0;0;0
61;80.04;0;0;0
62;80.04;0;0;0
64;80.04;0;0;0
66;80.04;0;0;0
67;80.04;0;0;0
69;80.04;0;0;0
71;80.04;0;0;0
72;80.04;0;0;0
74;80.04;0;0;0
76;80.04;0;0;0
77;80.04;0;0;0
79;80.04;0;0;0
81;80.04;0;0;0
83;80.04;0;0;0
84;80.04;0;0;0
86;80.04;0;0;0
88;80.04;0;0;0
89;80.04;0;0;0
91;80.04;0;0;0
93;80.04;0;0;0
94;80.04;0;0;0
96;80.04;0;0;0
98;80.04;0;0;0
99;80.04;0;0;0
101;80.04;0;0;0
103;80.04;0;0;0
104;80.04;0;0;0
106;80.04;0;0;0
108;80.04;0;0;0
109;80.04;0;0;0
111;80.04;0;0;0
113;80.04;0;0;0
114;80.04;0;0;0
116;80.04;0;0;0
118;80.04;0;0;0
120;80.04;0;0;0
121;80.04;0;0;0
123;80.04;0;0;0
125;80.04;0;0;0
126;80.04;0;0;0
128;80.04;0;0;0
130;80.04;0;0;0
131;80.04;0;0;0
133;80.04;0;0;0
135;80.04;0;0;0
136;80.04;0;0;0
138;80.04;0;0;0
140;80.04;0;0;0
141;80.04;0;0;0
143;80.04;0;0;0
145;80.04;0;0;0
147;80.04;0;0;0
148;80.04;0;0;0
150;80.04;0;0;0
152;80.04;0;0;0
153;80.04;0;0;0
155;80.04;0;0;0
157;80.04;0;0;0
158;80.04;0;0;0
160;80.04;0;0;0
162;80.04;0;0;0
163;80.04;0;0;0
165;80.04;0;0;0
167;80.04;0;0;0
169;80.04;0;0;0
170;80.04;0;0;0
172;80.04;0;0;0
174;80.04;0;0;0
175;80.04;0;0;0
177;80.04;0;0;0
179;80.04;0;0;0
180;80.04;0;0;0
182;80.04;0;0;0
184;80.04;0;0;0
185;80.04;0;0;0
187;80.04;0;0;0
189;80.04;0;0;0
190;80.04;0;0;0
192;80.04;0;0;0
194;80.04;0;0;0
195;80.04;0;0;0
197;80.04;0;0;0
199;80.04;0;0;0
201;80.04;0;0;0
202;79.86;0.18;0;0
204;79.67;0.37;0;0
205;79.38;0.66;0;0
207;78.98;1.06;0;0
209;78.46;1.58;0;0
211;77.86;2.18;0;0
213;77.86;2.18;0;0
214;77.17;2.87;0;0
215;76.42;3.62;0;0
217;75.58;4.46;0;0
219;74.76;5.28;0;0
220;73.89;6.15;0;0
222;72.93;7.11;0;0
224;72.05;7.99;0;0
226;71.14;8.9;0;0
228;70.17;9.87;0;0
230;69.18;10.86;0;0
232;69.18;10.86;0;0
234;68.25;11.79;0;0
236;68.25;11.79;0;0
238;67.31;12.73;0;0
240;67.31;12.73;0;0
242;66.38;13.66;0;0
244;66.38;13.66;0;0
246;65.48;14.56;0;0
248;65.48;14.56;0;0
250;64.58;15.46;0;0
252;64.58;15.46;0;0
254;63.62;16.42;0;0
255;62.62;17.42;0;0
257;61.62;18.42;0;0
259;60.61;19.43;0;0
